employee_Fullname,job_title,company_name,linkedin_urls,count_employee
Ijeoma Okoli,Director / Founding Member,Digital Economy Institute / Impact X Capital Partners LLP,https://www.linkedin.com/in/ijeoma-e-okoli-7a9849b/,359
Tony Hall,Head of Mortgage Sales,Saffron Building Society,https://www.linkedin.com/in/tony-hall-556a451b/,151
Niall Mc Cann,"Policy Advisor and Project Manager, Legal ldentity",United Nations,https://www.linkedin.com/in/niall-m-7787547/,48404
Melvyn Jones,Founder and Managing Director,Decentralised,https://www.linkedin.com/in/melvyn-jones-08070212/,
Miguel Traquina,Chief Information Officer,iProov,https://www.linkedin.com/in/migueltraquina/,172
Marion Laboure,"Director – Macro Strategist, Thematic Research",Deutsche Bank,https://www.linkedin.com/in/marion-laboure-7a17961/,73922
Anna Roughley ,Head of Insight,Lending Standards Board (LSB),https://www.linkedin.com/in/annaroughleycompliance/,26
Richard Davies,Chief Executive Officer,Allica Bank and NED WorldRemit,https://www.linkedin.com/in/richard-davies-1323b2/,868
Rish Sareen,Head of Operations,Plum Fintech,https://www.linkedin.com/in/rishsareen/,167
Simon Tobelem,Co-Founder and Group Chief Executive Officer,ARIE Finance,https://www.linkedin.com/in/simon-tobelem-b39268/,
Chirag Shah,Founder and Chief Executive Officer,Nucleus Commercial Finance,https://www.linkedin.com/in/cpshah/?originalSubdomain=uk,87
Helen Child OBE,Founder,Open Finance Excellence,https://www.linkedin.com/in/helenchild/?originalSubdomain=uk,10
Chinmay Parikh,Senior Manager in Innovation,FCA,https://www.linkedin.com/in/chinmay-parikh/,4139
Ankush Jain,Chief Investment Officer & Co-Founder,Aaro Capital,https://www.linkedin.com/in/ankushjain93/,21
Richard Rothwell,Senior Product Development Manager,Leeds Building Society,https://www.linkedin.com/in/richard-rothwell-901b77129/,1204
Sol Enenmoh,Head of Digital Transformation,Vanquis Bank,https://www.linkedin.com/in/digaleo/,1046
Nick Mothershaw,Chief Identity Strategist,Open Identity Exchange,https://www.linkedin.com/in/nick-mothershaw-2150436/,7
Harry Weber-Brown,Chief Executive,TISA UK,https://www.linkedin.com/in/harryweberbrown/,57
Wasim Mushtaq,"Transformation Lead, Financial Markets",Standard Chartered,https://www.linkedin.com/in/wasimmushtaq/,87646
Simon Moffatt,Industry Analyst,The Cyber Hut,https://www.linkedin.com/in/simonmoffatt/,
Stewart McLean,Co-Founder and Director,BUOM.app,https://www.linkedin.com/in/stewart-mclean-692270190/,2
Abdullo Kurbanov,Co-Founder and Chief Executive Officer,Alif Bank,https://www.linkedin.com/in/akurbanov/,299
Bullish Dumpling,Decentralized Governance Representative,Cardano Foundation,https://www.linkedin.com/in/bullish-dumpling/,121
Katinka Brurberg,User Strategy and Insight Lead,Vipps,https://www.linkedin.com/in/katinka-brurberg/,94
Alison Mc Dowell,Board Advisor ,Konfir,https://www.linkedin.com/in/alison-mcdowell-b183a71/,34
Miroslava Betinova,Head of Fintech,Griffin,https://www.linkedin.com/in/miroslava-betinova-17b85322/,58
Eliza Prettyman,Digital Identity Policy,"Department for Digital, Culture, Media and Sport (DCMS)",https://www.linkedin.com/in/eliza-prettyman-721106101/,1719
John Gathergood,"Professor of Economics, Faculty of Social Sciences",University of Nottingham,https://www.linkedin.com/in/john-gathergood/,10948
Mike Mann,Finance Director,Williams & Co,https://www.linkedin.com/in/mike-mann-a0074846/,265
Andrew Norman,Lead Engineer of UK and Europe Product,Wise,https://www.linkedin.com/in/andy-norman/,3647
Jonathan Turner,Technology Strategy and Innovations Lead,Fair4All Finance Limited,https://www.linkedin.com/in/jonathan-w-v-turner/,40
Faith Reynolds,Adviser,Amplified Global,https://www.linkedin.com/in/faith-reynolds-b95b3837/,114
Rashee Pandey,Head of Membership and Growth,Innovate Finance,https://www.linkedin.com/in/rasheepandey/,40
Mariana Gomez de la Villa,Global Centre of Expertise Lead - Distributed Ledger Technology,ING,https://www.linkedin.com/in/mariana-gomez-de-la-villa/,67435
Lucas Dalglish  ,Chief Commercial Officer,Jaja Finance,https://www.linkedin.com/in/lucas-dalglish-7aa27a8/,162
Robin Scher,Head of Fintech Investments,Lloyds Banking Group,https://www.linkedin.com/in/robin-scher-440b82113/?originalSubdomain=uk,55335
Charlotte Halkett,Chief Underwriting Officer,ManyPets,https://www.linkedin.com/in/charlottehalkett/?originalSubdomain=uk,403
Rema Rao,"Head of Payments Strategy, Europe",Uber,https://www.linkedin.com/in/remarao/,123062
Sarah Kocianski ,European Advisor,Arizona Fintech Council,https://www.linkedin.com/in/sarahkocianski/,102
Eddie Robb,Commercial Director,Zumo Enterprise,https://www.linkedin.com/in/eddie-robb-7410412b/,2
